id,code,name,group_id:id,company_id:id,partner_id:id
cost_admin_0001,0001,GERENCIA GENERAL,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0002,0002,GERENCIA FINANCIERA,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0003,0003,TESORERIA,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0004,0004,CONTABILIDAD,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0005,0005,ADMINISTRACION,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0006,0006,LOGISTICA,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0007,0007,RECURSOS HUMANOS,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0008,0008,SISTEMAS,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0009,0009,CUMPLIMIENTO LEGAL,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0010,0010,CALL CENTER,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0011,0011,SEGURIDAD,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0012,0012,AUDITORIA INTERNA,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0013,0013,OPERACIONES,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0014,0014,CORRESPONSALES Y AGENTES,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0015,0015,CORPORACIÓN JET PERÚ S.A,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0016,0016,EDPYME CREDIJET DEL PERÚ S.A,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0017,0017,MANTENIMIENTO,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0018,0018,GERENCIA ADJUNTA,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0019,0019,RIESGOS,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0020,0020,CUMPLIMIENTO NORMATIVO,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0022,0022,INCIDENCIAS,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0023,0023,ALMACEN GENERAL,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0024,0024,JET SAFE,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0025,0025,UNIDAD DE NEGOCIOS Y MARKETING,account_treasury.cost_admin,base.main_company,base.main_partner
cost_admin_0098,0098,OFICINAS ADMINISTRATIVAS,account_treasury.cost_admin,base.main_company,base.main_partner
cost_agency_0001,0001,LINCE,account_treasury.cost_agency,base.main_company,base.main_partner
cost_agency_0002,0002,MIRAFLORES,account_treasury.cost_agency,base.main_company,base.main_partner
cost_agency_0003,0003,SAN JUAN DE LURIGANCHO,account_treasury.cost_agency,base.main_company,base.main_partner
