id,code,name,type,active
anexo02_1,1,"PERSONA NATURAL SIN NEGOCIO",person,1
anexo02_2,2,"PERSONA NATURAL CON NEGOCIO",person,1
anexo02_3,3,"SOCIEDAD CONYUGAL SIN NEGOCIO",company,1
anexo02_4,4,"SOCIEDAD CONYUGAL CON NEGOCIO",company,1
anexo02_5,5,"SUCESION INDIVISA SIN NEGOCIO",company,1
anexo02_6,6,"SUCESION INDIVISA CON NEGOCIO",company,1
anexo02_7,7,"EMPRESA INDIVIDUAL DE RESP. LTDA",company,1
anexo02_8,8,"SOCIEDAD CIVIL",company,1
anexo02_9,9,"SOCIEDAD IRREGULAR",company,1
anexo02_10,10,"ASOCIACION EN PARTICIPACION",company,1
anexo02_11,11,"ASOCIACION",company,1
anexo02_12,12,"FUNDACION",company,1
anexo02_13,13,"SOCIEDAD EN COMANDITA SIMPLE",company,1
anexo02_14,14,"SOCIEDAD COLECTIVA",company,1
anexo02_15,15,"INSTITUCIONES PUBLICAS",company,1
anexo02_16,16,"INSTITUCIONES RELIGIOSAS",company,1
anexo02_17,17,"SOCIEDAD DE BENEFICIENCIA",company,1
anexo02_18,18,"ENTIDADES DE AUXILIO MUTUO",company,1
anexo02_19,19,"UNIVERS. CENTROS EDUCAT. Y CULT.",company,1
anexo02_20,20,"GOBIERNO REGIONAL, LOCAL",company,1
anexo02_21,21,"GOBIERNO CENTRAL",company,1
anexo02_22,22,"COMUNIDAD LABORAL",company,1
anexo02_23,23,"COMUNIDAD CAMPESINA,NATIVA,COMUNAL",company,1
anexo02_24,24,"COOPERATIVAS, SAIS, CAPS",company,1
anexo02_25,25,"EMPRESA DE PROPIEDAD SOCIAL",company,1
anexo02_26,26,"SOCIEDAD ANONIMA",company,1
anexo02_27,27,"SOCIEDAD EN COMANDITA POR ACCIONES",company,1
anexo02_28,28,"SOC.COM.RESPONS. LTDA",company,1
anexo02_29,29,"SUC,AG.EMP.EXTRANJ,EST.PERM NO DOM.",company,1
anexo02_30,30,"EMPRESA DE DERECHO PUBLICO",company,1
anexo02_31,31,"EMPRESA ESTATAL DE DERECHO PRIVADO",company,1
anexo02_32,32,"EMPRESA DE ECONOMIA MIXTA",company,1
anexo02_33,33,"ACCIONARIADO DEL ESTADO",company,1
anexo02_34,34,"MISIONES DIPLOMATICAS Y ORG. INTER.",company,1
anexo02_35,35,"JUNTA DE PROPIETARIOS",company,1
anexo02_36,36,"OF.REPRESENTACION DE NO DOMICILIADO",company,1
anexo02_37,37,"FONDOS MUTUOS DE INVERSION",company,1
anexo02_38,38,"SOCIEDAD ANONIMA ABIERTA",company,1
anexo02_39,39,"SOCIEDAD ANONIMA CERRADA",company,1
anexo02_40,40,"CONTRATOS COLABORACION EMPRESARIAL",company,1
anexo02_41,41,"ENT.INST.COOPERAC.TECNICA - ENIEX",company,1
anexo02_42,42,"COMUNIDAD DE BIENES",company,1
anexo02_43,43,"SOCIEDAD MINERA DE RESP.LIMITADA",company,1
anexo02_44,44,"ASOC. FUNDAC. Y COMITE NO INSCRITOS",company,1
anexo02_45,45,"PARTIDOS,MOVIM, ALIANZAS POLITICAS",company,1
anexo02_46,46,"ASOC. DE HECHO DE PROFESIONALES",company,1
anexo02_47,47,"CAFAES Y SUBCAFAES",company,1
anexo02_48,48,"SINDICATOS Y FEDERACIONES",company,1
anexo02_49,49,"COLEGIOS PROFESIONALES",company,1
anexo02_50,50,"COMITES INSCRITOS",company,1
anexo02_51,51,"ORGANIZACIONES SOCIALES DE BASE",company,1
